[INFO 03:05:12] miguelsolorio.symbols activated
[INFO 03:05:12] symbols.hidesExplorerArrows changed, updating to false
[INFO 03:05:12] symbols.folders.associations changed, updating to undefined
[INFO 03:05:12] symbols.files.associations changed, updating to undefined
[INFO 03:07:35] symbols.hidesExplorerArrows changed, updating to false
[INFO 03:07:35] symbols.folders.associations changed, updating to undefined
[INFO 03:07:35] symbols.files.associations changed, updating to undefined
[INFO 03:08:28] symbols.hidesExplorerArrows changed, updating to false
[INFO 03:08:28] symbols.folders.associations changed, updating to undefined
[INFO 03:08:28] symbols.files.associations changed, updating to undefined
[INFO 03:11:08] symbols.hidesExplorerArrows changed, updating to false
[INFO 03:11:08] symbols.folders.associations changed, updating to undefined
[INFO 03:11:08] symbols.files.associations changed, updating to undefined
[INFO 03:11:12] symbols.hidesExplorerArrows changed, updating to false
[INFO 03:11:12] symbols.folders.associations changed, updating to undefined
[INFO 03:11:12] symbols.files.associations changed, updating to undefined
[INFO 03:11:14] symbols.hidesExplorerArrows changed, updating to false
[INFO 03:11:14] symbols.folders.associations changed, updating to undefined
[INFO 03:11:14] symbols.files.associations changed, updating to undefined
[INFO 03:11:40] symbols.hidesExplorerArrows changed, updating to false
[INFO 03:11:40] symbols.folders.associations changed, updating to undefined
[INFO 03:11:40] symbols.files.associations changed, updating to undefined
[INFO 03:13:58] symbols.hidesExplorerArrows changed, updating to false
[INFO 03:13:58] symbols.folders.associations changed, updating to undefined
[INFO 03:13:58] symbols.files.associations changed, updating to undefined
[INFO 12:41:07] symbols.hidesExplorerArrows changed, updating to false
[INFO 12:41:07] symbols.folders.associations changed, updating to undefined
[INFO 12:41:07] symbols.files.associations changed, updating to undefined
[INFO 13:10:58] symbols.hidesExplorerArrows changed, updating to false
[INFO 13:10:58] symbols.folders.associations changed, updating to undefined
[INFO 13:10:58] symbols.files.associations changed, updating to undefined
[INFO 13:10:58] symbols.hidesExplorerArrows changed, updating to false
[INFO 13:10:58] symbols.folders.associations changed, updating to undefined
[INFO 13:10:58] symbols.files.associations changed, updating to undefined
